A0A075B6H9	Immunoglobulin lambda variable 4-69
Q9NQ29	Putative RNA-binding protein Luc7-like 1
Q9NQ30	Endothelial cell-specific molecule 1
Q9NQ31	A-kinase-interacting protein 1
Q9NQ32	Uncharacterized protein C11orf16
Q9NQ33	Achaete-scute homolog 3
Q9NQ34	Transmembrane protein 9B
Q9NQ35	Nuclear receptor-interacting protein 3
Q9NQ36	Signal peptide, CUB and EGF-like domain-containing protein 2
Q9NQ38	Serine protease inhibitor Kazal-type 5
Q9NQ39	Putative 40S ribosomal protein S10-like
Q9NQ40	Solute carrier family 52, riboflavin transporter, member 3
Q9NQ48	Leucine zipper transcription factor-like protein 1
Q9NQ50	39S ribosomal protein L40, mitochondrial
Q9NQ55	Suppressor of SWI4 1 homolog
Q9NQ60	Equatorin
Q9NQ66	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-1
Q9NQ69	LIM/homeobox protein Lhx9
Q9NQ75	Cas scaffolding protein family member 4
Q9NQ76	Matrix extracellular phosphoglycoprotein
Q9NQ79	Cartilage acidic protein 1
Q9NQ84	G-protein coupled receptor family C group 5 member C
Q9NQ86	E3 ubiquitin-protein ligase TRIM36
Q9NQ87	Hairy/enhancer-of-split related with YRPW motif-like protein
Q9NQ88	Fructose-2,6-bisphosphatase TIGAR
Q9NQ89	Protein C12orf4
Q9NQ90	Anoctamin-2
Q9NQ92	Coordinator of PRMT5 and differentiation stimulator
Q9NQ94	APOBEC1 complementation factor
Q9NQA3	WAS protein family homolog 6
Q9NQA5	Transient receptor potential cation channel subfamily V member 5
Q9NQB0	Transcription factor 7-like 2
Q9NQC1	E3 ubiquitin-protein ligase Jade-2
Q9NQC3	Reticulon-4
Q9NQC7	Ubiquitin carboxyl-terminal hydrolase CYLD
Q9NQC8	Intraflagellar transport protein 46 homolog
Q9NQE7	Thymus-specific serine protease
Q9NQE9	Histidine triad nucleotide-binding protein 3
Q9NQF3	Serine hydrolase-like protein
Q9NQG1	Protein MANBAL
Q9NQG5	Regulation of nuclear pre-mRNA domain-containing protein 1B
Q9NQG6	Mitochondrial dynamics protein MID51
Q9NQG7	Hermansky-Pudlak syndrome 4 protein
Q9NQH7	Xaa-Pro aminopeptidase 3
Q9NQI0	Probable ATP-dependent RNA helicase DDX4
Q9NQL2	Ras-related GTP-binding protein D
Q9NQL9	Doublesex- and mab-3-related transcription factor 3
Q9NQM4	Protein PIH1D3
Q9NQN1	Olfactory receptor 2S2
Q9NQP4	Prefoldin subunit 4
Q9NQQ7	Solute carrier family 35 member C2
Q9NQR1	N-lysine methyltransferase KMT5A
Q9NQR4	Omega-amidase NIT2
Q9NQR7	Coiled-coil domain-containing protein 177
Q9NQR9	Glucose-6-phosphatase 2
Q9NQS1	Cell death regulator Aven
Q9NQS3	Nectin-3
Q9NQS5	G-protein coupled receptor 84
Q9NQS7	Inner centromere protein
Q9NQT4	Exosome complex component RRP46
Q9NQT5	Exosome complex component RRP40
Q9NQT6	Fascin-3
Q9NQT8	Kinesin-like protein KIF13B
Q9NQU5	Serine/threonine-protein kinase PAK 6
Q9NQV5	PR domain-containing protein 11
Q9NQV6	PR domain zinc finger protein 10
Q9NQV7	Histone-lysine N-methyltransferase PRDM9
Q9NQV8	PR domain zinc finger protein 8
Q9NQW1	Protein transport protein Sec31B
Q9NQW5	Probable histone-lysine N-methyltransferase PRDM7
Q9NQW6	Anillin
Q9NQW7	Xaa-Pro aminopeptidase 1
Q9NQW8	Cyclic nucleotide-gated cation channel beta-3
Q9NQX0	Putative histone-lysine N-methyltransferase PRDM6
Q9NQX1	PR domain zinc finger protein 5
Q9NQX3	Gephyrin
Q9NQX4	Unconventional myosin-Vc
Q9NQX5	Neural proliferation differentiation and control protein 1
Q9NQX6	Zinc finger protein 331
Q9NQX7	Integral membrane protein 2C
Q9NQY0	Bridging integrator 3
Q9NQZ2	Something about silencing protein 10
Q9NQZ3	Deleted in azoospermia protein 1
Q9NQZ5	StAR-related lipid transfer protein 7, mitochondrial
Q9NQZ6	Zinc finger C4H2 domain-containing protein
Q9NQZ7	Ectonucleoside triphosphate diphosphohydrolase 7
Q9NQZ8	Endothelial zinc finger protein induced by tumor necrosis factor alpha
Q9NR00	Transcriptional and immune response regulator
Q9NR09	Baculoviral IAP repeat-containing protein 6
Q9NR11	Zinc finger protein 302
Q9NR12	PDZ and LIM domain protein 7
Q9NR16	Scavenger receptor cysteine-rich type 1 protein M160
Q9NR19	Acetyl-coenzyme A synthetase, cytoplasmic
Q9NR20	Dual specificity tyrosine-phosphorylation-regulated kinase 4
Q9NR21	Poly [ADP-ribose] polymerase 11
Q9NR22	Protein arginine N-methyltransferase 8
Q9NR23	Growth/differentiation factor 3
Q9NR28	Diablo homolog, mitochondrial
Q9NR30	Nucleolar RNA helicase 2
Q9NR31	GTP-binding protein SAR1a
Q9NR33	DNA polymerase epsilon subunit 4
Q9NR34	Mannosyl-oligosaccharide 1,2-alpha-mannosidase IC
Q9NR45	Sialic acid synthase
Q9NR46	Endophilin-B2
Q9NR48	Histone-lysine N-methyltransferase ASH1L
Q9NR50	Translation initiation factor eIF-2B subunit gamma
Q9NR55	Basic leucine zipper transcriptional factor ATF-like 3
Q9NR56	Muscleblind-like protein 1
Q9NR61	Delta-like protein 4
Q9NR63	Cytochrome P450 26B1
Q9NR64	Kelch-like protein 1
Q9NR71	Neutral ceramidase
Q9NR77	Peroxisomal membrane protein 2
Q9NR80	Rho guanine nucleotide exchange factor 4
Q9NR81	Rho guanine nucleotide exchange factor 3
Q9NR82	Potassium voltage-gated channel subfamily KQT member 5
Q9NR83	SLC2A4 regulator
Q9NR90	Deleted in azoospermia protein 3
Q9NR96	Toll-like receptor 9
Q9NR97	Toll-like receptor 8
Q9NR99	Matrix-remodeling-associated protein 5
Q9NRA0	Sphingosine kinase 2
Q9NRA1	Platelet-derived growth factor C
Q9NRA2	Sialin
Q9NRA8	Eukaryotic translation initiation factor 4E transporter
Q9NRB3	Carbohydrate sulfotransferase 12
Q9NRC1	Suppressor of tumorigenicity 7 protein
Q9NRC6	Spectrin beta chain, non-erythrocytic 5
Q9NRC8	NAD-dependent protein deacetylase sirtuin-7
Q9NRC9	Otoraplin
Q9NRD0	F-box only protein 8
Q9NRD1	F-box only protein 6
Q9NRD5	PRKCA-binding protein
Q9NRD8	Dual oxidase 2
Q9NRD9	Dual oxidase 1
Q9NRE1	Matrix metalloproteinase-26
Q9NRE2	Teashirt homolog 2
Q9NRF2	SH2B adapter protein 1
Q9NRF8	CTP synthase 2
Q9NRF9	DNA polymerase epsilon subunit 3
Q9NRG0	Chromatin accessibility complex protein 1
Q9NRG1	Phosphoribosyltransferase domain-containing protein 1
Q9NRG4	N-lysine methyltransferase SMYD2
Q9NRG7	Epimerase family protein SDR39U1
Q9NRG9	Aladin
Q9NRH1	Yae1 domain-containing protein 1
Q9NRH2	SNF-related serine/threonine-protein kinase
Q9NRH3	Tubulin gamma-2 chain
Q9NRI5	Disrupted in schizophrenia 1 protein
Q9NRI6	Putative peptide YY-2
Q9NRI7	Putative pancreatic polypeptide 2
Q9NRJ1	Protein MOST-1
Q9NRJ2	Putative uncharacterized protein GSN-AS1
Q9NRJ3	C-C motif chemokine 28
Q9NRJ4	Tubby-related protein 4
Q9NRJ5	Poly(A) polymerase beta
Q9NRJ7	Protocadherin beta-16
Q9NRK6	ATP-binding cassette sub-family B member 10, mitochondrial
Q9NRL2	Bromodomain adjacent to zinc finger domain protein 1A
Q9NRL3	Striatin-4
Q9NRM0	Solute carrier family 2, facilitated glucose transporter member 9
Q9NRM1	Enamelin
Q9NRM2	Zinc finger protein 277
Q9NRM6	Interleukin-17 receptor B
Q9NRM7	Serine/threonine-protein kinase LATS2
Q9NRN5	Olfactomedin-like protein 3
Q9NRN7	L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase
Q9NRN9	Methyltransferase-like protein 5
Q9NRP0	Oligosaccharyltransferase complex subunit OSTC
Q9NRP2	COX assembly mitochondrial protein 2 homolog
Q9NRP4	Succinate dehydrogenase assembly factor 3, mitochondrial
Q9NRP7	Serine/threonine-protein kinase 36
Q9NRQ2	Phospholipid scramblase 4
Q9NRQ5	Single-pass membrane and coiled-coil domain-containing protein 4
Q9NRR1	Cytokine-like protein 1
Q9NRR2	Tryptase gamma
Q9NRR3	CDC42 small effector protein 2
Q9NRR4	Ribonuclease 3
Q9NRR5	Ubiquilin-4
Q9NRR6	72 kDa inositol polyphosphate 5-phosphatase
Q9NRR8	CDC42 small effector protein 1
Q9NRS4	Transmembrane protease serine 4
Q9NRS6	Sorting nexin-15
Q9NRU3	Metal transporter CNNM1
Q9NRV9	Heme-binding protein 1
Q9NRW1	Ras-related protein Rab-6B
Q9NRW3	DNA dC->dU-editing enzyme APOBEC-3C
Q9NRW4	Dual specificity protein phosphatase 22
Q9NRW7	Vacuolar protein sorting-associated protein 45
Q9NRX1	RNA-binding protein PNO1
Q9NRX2	39S ribosomal protein L17, mitochondrial
Q9NRX3	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 4-like 2
Q9NRX4	14 kDa phosphohistidine phosphatase
Q9NRX5	Serine incorporator 1
Q9NRX6	Protein kish-B
Q9NRY2	SOSS complex subunit C
Q9NRY4	Rho GTPase-activating protein 35
Q9NRY5	Protein FAM114A2
Q9NRY6	Phospholipid scramblase 3
Q9NRY7	Phospholipid scramblase 2
Q9NRZ5	1-acyl-sn-glycerol-3-phosphate acyltransferase delta
Q9NRZ7	1-acyl-sn-glycerol-3-phosphate acyltransferase gamma
Q9NRZ9	Lymphoid-specific helicase
Q9NS00	Glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase 1
Q9NS15	Latent-transforming growth factor beta-binding protein 3
Q9NS18	Glutaredoxin-2, mitochondrial
Q9NS23	Ras association domain-containing protein 1
Q9NS25	Sperm protein associated with the nucleus on the X chromosome B1
Q9NS26	Sperm protein associated with the nucleus on the X chromosome A
Q9NS28	Regulator of G-protein signaling 18
Q9NS37	CREB/ATF bZIP transcription factor
Q9NS39	Double-stranded RNA-specific editase B2
Q9NS40	Potassium voltage-gated channel subfamily H member 7
Q9NS56	E3 ubiquitin-protein ligase Topors
Q9NS61	Kv channel-interacting protein 2
Q9NS62	Thrombospondin type-1 domain-containing protein 1
Q9NS64	Protein reprimo
Q9NS66	Probable G-protein coupled receptor 173
Q9NS67	Probable G-protein coupled receptor 27
Q9NS68	Tumor necrosis factor receptor superfamily member 19
Q9NS69	Mitochondrial import receptor subunit TOM22 homolog
Q9NS71	Gastrokine-1
Q9NS73	MAP3K12-binding inhibitory protein 1
Q9NS75	Cysteinyl leukotriene receptor 2
Q9NS82	Asc-type amino acid transporter 1
Q9NS84	Carbohydrate sulfotransferase 7
Q9NS85	Carbonic anhydrase-related protein 10
Q9NS86	LanC-like protein 2
Q9NS87	Kinesin-like protein KIF15
Q9NS91	E3 ubiquitin-protein ligase RAD18
Q9NS93	Transmembrane 7 superfamily member 3
Q9NS98	Semaphorin-3G
Q9NSA0	Solute carrier family 22 member 11
Q9NSA1	Fibroblast growth factor 21
Q9NSA2	Potassium voltage-gated channel subfamily D member 1
Q9NSA3	Beta-catenin-interacting protein 1
Q9NSB2	Keratin, type II cuticular Hb4
Q9NSB4	Keratin, type II cuticular Hb2
Q9NSB8	Homer protein homolog 2
Q9NSC2	Sal-like protein 1
Q9NSC5	Homer protein homolog 3
Q9NSC7	Alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase 1
Q9NSD4	Zinc finger protein 275
Q9NSD5	Sodium- and chloride-dependent GABA transporter 2
Q9NSD7	Relaxin-3 receptor 1
Q9NSD9	Phenylalanine--tRNA ligase beta subunit
Q9NSE2	Cytokine-inducible SH2-containing protein
Q9NSE4	Isoleucine--tRNA ligase, mitochondrial
Q9NSE7	Putative ATP-binding cassette sub-family C member 13
Q9NSG2	Uncharacterized protein C1orf112
Q9NSI2	Protein FAM207A
Q9NSI5	Immunoglobulin superfamily member 5
Q9NSI6	Bromodomain and WD repeat-containing protein 1
Q9NSI8	SAM domain-containing protein SAMSN-1
Q9NSJ1	Putative zinc finger protein 355P
Q9NSK0	Kinesin light chain 4
Q9NSK7	Protein C19orf12
Q9NSN8	Gamma-1-syntrophin
Q9NSP4	Centromere protein M
Q9NSQ0	Putative ribosomal RNA-processing protein 7 homolog B
Q9NST1	Patatin-like phospholipase domain-containing protein 3
Q9NSU2	Three-prime repair exonuclease 1
Q9NSV4	Protein diaphanous homolog 3
Q9NSY0	Nuclear receptor-binding protein 2
Q9NSY1	BMP-2-inducible protein kinase
Q9NSY2	StAR-related lipid transfer protein 5
Q9NT22	EMILIN-3
Q9NT62	Ubiquitin-like-conjugating enzyme ATG3
Q9NT68	Teneurin-2
Q9NT99	Leucine-rich repeat-containing protein 4B
Q9NTG1	Polycystic kidney disease and receptor for egg jelly-related protein
Q9NTG7	NAD-dependent protein deacetylase sirtuin-3, mitochondrial
Q9NTI2	Phospholipid-transporting ATPase IB
Q9NTI5	Sister chromatid cohesion protein PDS5 homolog B
Q9NTI7	PAK4-inhibitor INKA2
Q9NTJ3	Structural maintenance of chromosomes protein 4
Q9NTJ4	Alpha-mannosidase 2C1
Q9NTJ5	Phosphatidylinositide phosphatase SAC1
Q9NTK1	Protein DEPP1
Q9NTK5	Obg-like ATPase 1
Q9NTM9	Copper homeostasis protein cutC homolog
Q9NTN3	UDP-glucuronic acid/UDP-N-acetylgalactosamine transporter
Q9NTN9	Semaphorin-4G
Q9NTQ9	Gap junction beta-4 protein
Q9NTU4	Cation channel sperm-associated protein subunit zeta
Q9NTU7	Cerebellin-4
Q9NTX5	Ethylmalonyl-CoA decarboxylase
Q9NTX7	E3 ubiquitin-protein ligase RNF146
Q9NTX9	Protein FAM217B
Q9NTZ6	RNA-binding protein 12
Q9NU02	Ankyrin repeat and EF-hand domain-containing protein 1
Q9NU19	TBC1 domain family member 22B
Q9NU22	Midasin
Q9NU23	LYR motif-containing protein 2
Q9NU39	Forkhead box protein D4-like 1
Q9NU53	Glycoprotein integral membrane protein 1
Q9NU63	Zinc finger protein 57 homolog
Q9NUA8	Zinc finger and BTB domain-containing protein 40
Q9NUB1	Acetyl-coenzyme A synthetase 2-like, mitochondrial
Q9NUB4	Uncharacterized protein C20orf141
Q9NUC0	SERTA domain-containing protein 4
Q9NUD5	Zinc finger CCHC domain-containing protein 3
Q9NUD7	Uncharacterized protein C20orf96
Q9NUD9	GPI mannosyltransferase 2
Q9NUE0	Palmitoyltransferase ZDHHC18
Q9NUG4	Cerebral cavernous malformations 2 protein-like
Q9NUG6	p53 and DNA damage-regulated protein 1
Q9NUH8	Transmembrane protein 14B
Q9NUI1	Peroxisomal 2,4-dienoyl-CoA reductase
Q9NUJ1	Mycophenolic acid acyl-glucuronide esterase, mitochondrial
Q9NUJ3	T-complex protein 11-like protein 1
Q9NUJ7	PI-PLC X domain-containing protein 1
Q9NUK0	Muscleblind-like protein 3
Q9NUL3	Double-stranded RNA-binding protein Staufen homolog 2
Q9NUL5	Repressor of yield of DENV protein
Q9NUL7	Probable ATP-dependent RNA helicase DDX28
Q9NUM3	Zinc transporter ZIP9
Q9NUM4	Transmembrane protein 106B
Q9NUN5	Probable lysosomal cobalamin transporter
Q9NUN7	Alkaline ceramidase 3
Q9NUP1	Biogenesis of lysosome-related organelles complex 1 subunit 4
Q9NUP7	tRNA:m(4)X modification enzyme TRM13 homolog
Q9NUP9	Protein lin-7 homolog C
Q9NUQ2	1-acyl-sn-glycerol-3-phosphate acyltransferase epsilon
Q9NUQ3	Gamma-taxilin
Q9NUQ6	SPATS2-like protein
Q9NUQ7	Ufm1-specific protease 2
Q9NUQ8	ATP-binding cassette sub-family F member 3
Q9NUQ9	Protein FAM49B
Q9NUR3	Transmembrane protein 74B
Q9NUS5	AP-5 complex subunit sigma-1
Q9NUT2	ATP-binding cassette sub-family B member 8, mitochondrial
Q9NUU6	Inactive ubiquitin thioesterase FAM105A
Q9NUU7	ATP-dependent RNA helicase DDX19A
Q9NUV7	Serine palmitoyltransferase 3
Q9NUV9	GTPase IMAP family member 4
Q9NUW8	Tyrosyl-DNA phosphodiesterase 1
Q9NUX5	Protection of telomeres protein 1
Q9NUY8	TBC1 domain family member 23
Q9NUZ1	Acyl-coenzyme A oxidase-like protein
Q9NV06	DDB1- and CUL4-associated factor 13
Q9NV12	Transmembrane protein 140
Q9NV23	S-acyl fatty acid synthase thioesterase, medium chain
Q9NV29	Transmembrane protein 100
Q9NV31	U3 small nucleolar ribonucleoprotein protein IMP3
Q9NV35	Nucleotide triphosphate diphosphatase NUDT15
Q9NV39	Proline-rich protein 34
Q9NV44	Putative uncharacterized protein encoded by LINC00846
Q9NV56	MRG/MORF4L-binding protein
Q9NV58	E3 ubiquitin-protein ligase RNF19A
Q9NV64	Transmembrane protein 39A
Q9NV66	S-adenosyl-L-methionine-dependent tRNA 4-demethylwyosine synthase
Q9NV70	Exocyst complex component 1
Q9NV72	Zinc finger protein 701
Q9NV79	Protein-L-isoaspartate O-methyltransferase domain-containing protein 2
Q9NV88	Integrator complex subunit 9
Q9NV92	NEDD4 family-interacting protein 2
Q9NV96	Cell cycle control protein 50A
Q9NVA1	Ubiquinol-cytochrome-c reductase complex assembly factor 1
Q9NVA2	Septin-11
Q9NVA4	Transmembrane protein 184C
Q9NVC3	Putative sodium-coupled neutral amino acid transporter 7
Q9NVC6	Mediator of RNA polymerase II transcription subunit 17
Q9NVD3	SET domain-containing protein 4
Q9NVD7	Alpha-parvin
Q9NVE4	Coiled-coil domain-containing protein 87
Q9NVE5	Ubiquitin carboxyl-terminal hydrolase 40
Q9NVE7	Pantothenate kinase 4
Q9NVF7	F-box only protein 28
Q9NVF9	Ethanolamine kinase 2
Q9NVG8	TBC1 domain family member 13
Q9NVH0	Exonuclease 3'-5' domain-containing protein 2
Q9NVH1	DnaJ homolog subfamily C member 11
Q9NVH2	Integrator complex subunit 7
Q9NVH6	Trimethyllysine dioxygenase, mitochondrial
Q9NVI1	Fanconi anemia group I protein
Q9NVI7	ATPase family AAA domain-containing protein 3A
Q9NVJ2	ADP-ribosylation factor-like protein 8B
Q9NVK5	FGFR1 oncogene partner 2
Q9NVL1	Protein FAM86C1
Q9NVL8	Uncharacterized protein CCDC198
Q9NVM1	Protein eva-1 homolog B
Q9NVM4	Protein arginine N-methyltransferase 7
Q9NVM6	DnaJ homolog subfamily C member 17
Q9NVM9	Integrator complex subunit 13
Q9NVN3	Synembryn-B
Q9NVN8	Guanine nucleotide-binding protein-like 3-like protein
Q9NVP1	ATP-dependent RNA helicase DDX18
Q9NVP2	Histone chaperone ASF1B
Q9NVP4	Double zinc ribbon and ankyrin repeat-containing protein 1
Q9NVQ4	Fas apoptotic inhibitory molecule 1
Q9NVR0	Kelch-like protein 11
Q9NVR2	Integrator complex subunit 10
Q9NVR5	Protein kintoun
Q9NVR7	TBCC domain-containing protein 1
Q9NVS2	39S ribosomal protein S18a, mitochondrial
Q9NVS9	Pyridoxine-5'-phosphate oxidase
Q9NVT9	Armadillo repeat-containing protein 1
Q9NVU0	DNA-directed RNA polymerase III subunit RPC5
Q9NVU7	Protein SDA1 homolog
Q9NVV0	Trimeric intracellular cation channel type B
Q9NVV2	Putative uncharacterized protein C19orf73
Q9NVV4	Poly(A) RNA polymerase, mitochondrial
Q9NVV5	Androgen-induced gene 1 protein
Q9NVV9	THAP domain-containing protein 1
Q9NVW2	E3 ubiquitin-protein ligase RLIM
Q9NVX0	HAUS augmin-like complex subunit 2
Q9NVX2	Notchless protein homolog 1
Q9NVX7	Kelch repeat and BTB domain-containing protein 4
Q9NVZ3	Adaptin ear-binding coat-associated protein 2
Q9NW07	Zinc finger protein 358
Q9NW08	DNA-directed RNA polymerase III subunit RPC2
Q9NW13	RNA-binding protein 28
Q9NW15	Anoctamin-10
Q9NW38	E3 ubiquitin-protein ligase FANCL
Q9NW61	Pleckstrin homology domain-containing family J member 1
Q9NW64	Pre-mRNA-splicing factor RBM22
Q9NW68	BSD domain-containing protein 1
Q9NW75	G patch domain-containing protein 2
Q9NW81	Distal membrane-arm assembly complex protein 2
Q9NW82	WD repeat-containing protein 70
Q9NW97	Transmembrane protein 51
Q9NWA0	Mediator of RNA polymerase II transcription subunit 9
Q9NWB1	RNA binding protein fox-1 homolog 1
Q9NWB6	Arginine and glutamate-rich protein 1
Q9NWB7	Intraflagellar transport protein 57 homolog
Q9NWC5	Transmembrane protein 45A
Q9NWD8	Transmembrane protein 248
Q9NWD9	Protein BEX4
Q9NWF4	Solute carrier family 52, riboflavin transporter, member 1
Q9NWF9	E3 ubiquitin-protein ligase RNF216
Q9NWH2	Transmembrane protein 242
Q9NWH7	Spermatogenesis-associated protein 6
Q9NWH9	SAFB-like transcription modulator
Q9NWK9	Box C/D snoRNA protein 1
Q9NWL6	Asparagine synthetase domain-containing protein 1
Q9NWM0	Spermine oxidase
Q9NWM3	CUE domain-containing protein 1
Q9NWM8	Peptidyl-prolyl cis-trans isomerase FKBP14
Q9NWN3	F-box only protein 34
Q9NWQ4	G patch domain-containing protein 2-like
Q9NWQ8	Phosphoprotein associated with glycosphingolipid-enriched microdomains 1
Q9NWQ9	Uncharacterized protein C14orf119
Q9NWR8	Calcium uniporter regulatory subunit MCUb, mitochondrial
Q9NWS0	PIH1 domain-containing protein 1
Q9NWS1	PCNA-interacting partner
Q9NWS6	Protein FAM118A
Q9NWS8	Required for meiotic nuclear division protein 1 homolog
Q9NWS9	Zinc finger protein 446
Q9NWT1	p21-activated protein kinase-interacting protein 1
Q9NWT6	Hypoxia-inducible factor 1-alpha inhibitor
Q9NWT8	Aurora kinase A-interacting protein
Q9NWU1	3-oxoacyl-[acyl-carrier-protein] synthase, mitochondrial
Q9NWU2	Glucose-induced degradation protein 8 homolog
Q9NWU5	39S ribosomal protein L22, mitochondrial
Q9NWV4	UPF0587 protein C1orf123
Q9NWV8	BRISC and BRCA1-A complex member 1
Q9NWW0	Host cell factor C1 regulator 1
Q9NWW5	Ceroid-lipofuscinosis neuronal protein 6
Q9NWW6	Nicotinamide riboside kinase 1
Q9NWW7	Uncharacterized protein C2orf42
Q9NWW9	HRAS-like suppressor 2
Q9NWX5	Ankyrin repeat and SOCS box protein 6
Q9NWX6	Probable tRNA(His) guanylyltransferase
Q9NWY4	Histone PARylation factor 1
Q9NWZ3	Interleukin-1 receptor-associated kinase 4
Q9NWZ5	Uridine-cytidine kinase-like 1
Q9NWZ8	Gem-associated protein 8
Q9NX00	Transmembrane protein 160
Q9NX01	Thioredoxin-like protein 4B
Q9NX02	NACHT, LRR and PYD domains-containing protein 2
Q9NX04	Uncharacterized protein C1orf109
Q9NX05	Constitutive coactivator of PPAR-gamma-like protein 2
Q9NX07	tRNA selenocysteine 1-associated protein 1
Q9NX08	COMM domain-containing protein 8
Q9NX09	DNA damage-inducible transcript 4 protein
Q9NX14	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 11, mitochondrial
Q9NX18	Succinate dehydrogenase assembly factor 2, mitochondrial
Q9NX20	39S ribosomal protein L16, mitochondrial
Q9NX24	H/ACA ribonucleoprotein complex subunit 2
Q9NX31	Oxidative stress-responsive serine-rich protein 1
Q9NX36	DnaJ homolog subfamily C member 28
Q9NX38	Protein Simiate
Q9NX40	OCIA domain-containing protein 1
Q9NX45	Spermatogenesis- and oogenesis-specific basic helix-loop-helix-containing protein 2
Q9NX46	Poly(ADP-ribose) glycohydrolase ARH3
Q9NX47	E3 ubiquitin-protein ligase MARCH5
Q9NX52	Rhomboid-related protein 2
Q9NX55	Huntingtin-interacting protein K
Q9NX57	Ras-related protein Rab-20
Q9NX58	Cell growth-regulating nucleolar protein
Q9NX61	Transmembrane protein 161A
Q9NX62	Inositol monophosphatase 3
Q9NX63	MICOS complex subunit MIC19
Q9NX65	Zinc finger and SCAN domain-containing protein 32
Q9NX70	Mediator of RNA polymerase II transcription subunit 29
Q9NX74	tRNA-dihydrouridine(20) synthase [NAD(P)+]-like
Q9NX76	CKLF-like MARVEL transmembrane domain-containing protein 6
